nombre_municipio,asegurados,fecha
Villa Purificación            ,139,01/12/2017
Yahualica de González Gallo   ,1045,01/12/2017
Zacoalco de Torres            ,1943,01/12/2017
Zapopan                       ,390421,01/12/2017
Zapotiltic                    ,6146,01/12/2017
Zapotitlán de Vadillo         ,57,01/12/2017
Zapotlán del Rey              ,3680,01/12/2017
Zapotlán el Grande            ,40107,01/12/2017
Zapotlanejo                   ,8824,01/12/2017
Acatic                        ,4814,01/12/2018
Acatlán de Juárez             ,6487,01/12/2018
Ahualulco de Mercado          ,1197,01/12/2018
Amacueca                      ,39,01/12/2018
Amatitán                      ,1327,01/12/2018
Ameca                         ,7963,01/12/2018
Arandas                       ,13131,01/12/2018
Atemajac de Brizuela          ,43,01/12/2018
Atengo                        ,41,01/12/2018
Atenguillo                    ,60,01/12/2018
Atotonilco el Alto            ,8346,01/12/2018
Atoyac                        ,620,01/12/2018
Autlán de Navarro             ,11292,01/12/2018
Ayotlán                       ,3058,01/12/2018
Ayutla                        ,363,01/12/2018
Bolaños                       ,641,01/12/2018
Cabo Corrientes               ,442,01/12/2018
Cañadas de Obregón            ,16,01/12/2018
Casimiro Castillo             ,3426,01/12/2018
Chapala                       ,6642,01/12/2018
Chimaltitán                   ,1,01/12/2018
Chiquilistlán                 ,132,01/12/2018
Cihuatlán                     ,1961,01/12/2018
Cocula                        ,2699,01/12/2018
Colotlán                      ,546,01/12/2018
Concepción de Buenos Aires    ,102,01/12/2018
Cuautitlán de García Barragán ,39,01/12/2018
Cuautla                       ,97,01/12/2018
Cuquío                        ,419,01/12/2018
Degollado                     ,732,01/12/2018
Ejutla                        ,3,01/12/2018
El Arenal                     ,1149,01/12/2018
El Grullo                     ,2672,01/12/2018
El Limón                      ,172,01/12/2018
El Salto                      ,51528,01/12/2018
Encarnación de Díaz           ,3245,01/12/2018
Etzatlán                      ,661,01/12/2018
Gómez Farías                  ,1290,01/12/2018
Guachinango                   ,166,01/12/2018
Guadalajara                   ,1026826,01/12/2018
Hostotipaquillo               ,225,01/12/2018
Huejúcar                      ,118,01/12/2018
Huejuquilla el Alto           ,77,01/12/2018
Ixtlahuacán de los Membrillos ,4114,01/12/2018
Ixtlahuacán del Río           ,626,01/12/2018
Jalostotitlán                 ,2930,01/12/2018
Jamay                         ,1339,01/12/2018
Jesús María                   ,1769,01/12/2018
Jilotlán de los Dolores       ,98,01/12/2018
Jocotepec                     ,7876,01/12/2018
Juanacatlán                   ,1724,01/12/2018
Juchitlán                     ,106,01/12/2018
La Barca                      ,6708,01/12/2018
La Huerta                     ,2543,01/12/2018
La Manzanilla de la Paz       ,62,01/12/2018
Lagos de Moreno               ,37861,01/12/2018
Magdalena                     ,1568,01/12/2018
Mascota                       ,1202,01/12/2018
Mazamitla                     ,1148,01/12/2018
Mexticacán                    ,15,01/12/2018
Mezquitic                     ,149,01/12/2018
Mixtlán                       ,45,01/12/2018
Ocotlán                       ,28847,01/12/2018
Ojuelos de Jalisco            ,2103,01/12/2018
Pihuamo                       ,440,01/12/2018
Poncitlán                     ,5233,01/12/2018
Puerto Vallarta               ,76251,01/12/2018
Quitupan                      ,8,01/12/2018
San Cristóbal de la Barranca  ,73,01/12/2018
San Diego de Alejandría       ,217,01/12/2018
San Gabriel                   ,3812,01/12/2018
San Ignacio Cerro Gordo       ,639,01/12/2018
San Juan de los Lagos         ,12751,01/12/2018
San Juanito de Escobedo       ,364,01/12/2018
San Julián                    ,809,01/12/2018
San Marcos                    ,39,01/12/2018
San Martín de Bolaños         ,424,01/12/2018
San Martín Hidalgo            ,925,01/12/2018
San Miguel el Alto            ,3766,01/12/2018
San Pedro Tlaquepaque         ,112243,01/12/2018
San Sebastián del Oeste       ,49,01/12/2018
Santa María de los Ángeles    ,27,01/12/2018
Santa María del Oro           ,1,01/12/2018
Sayula                        ,4359,01/12/2018
Tala                          ,15741,01/12/2018
Talpa de Allende              ,491,01/12/2018
Tamazula de Gordiano          ,9681,01/12/2018
Tapalpa                       ,2240,01/12/2018
Tecalitlán                    ,773,01/12/2018
Techaluta de Montenegro       ,69,01/12/2018
Tecolotlán                    ,975,01/12/2018
Tenamaxtlán                   ,325,01/12/2018
Teocaltiche                   ,3087,01/12/2018
Teocuitatlán de Corona        ,327,01/12/2018
Tepatitlán de Morelos         ,39394,01/12/2018
Tequila                       ,6321,01/12/2018
Teuchitlán                    ,592,01/12/2018
Tizapán el Alto               ,1274,01/12/2018
Tlajomulco de Zúñiga          ,86954,01/12/2018
Tolimán                       ,907,01/12/2018
Tomatlán                      ,2181,01/12/2018
Tonalá                        ,31629,01/12/2018
Tonaya                        ,1104,01/12/2018
Tonila                        ,355,01/12/2018
Totatiche                     ,41,01/12/2018
Tototlán                      ,1904,01/12/2018
Tuxcacuesco                   ,2932,01/12/2018
Tuxcueca                      ,311,01/12/2018
Tuxpan                        ,4232,01/12/2018
Unión de San Antonio          ,1302,01/12/2018
Unión de Tula                 ,516,01/12/2018
Valle de Guadalupe            ,1721,01/12/2018
Valle de Juárez               ,288,01/12/2018
Villa Corona                  ,958,01/12/2018
Villa Guerrero                ,31,01/12/2018
Villa Hidalgo                 ,727,01/12/2018
Villa Purificación            ,143,01/12/2018
Yahualica de González Gallo   ,959,01/12/2018
Zacoalco de Torres            ,2535,01/12/2018
Zapopan                       ,403431,01/12/2018
Zapotiltic                    ,6621,01/12/2018
Zapotitlán de Vadillo         ,42,01/12/2018
Zapotlán del Rey              ,2899,01/12/2018
Zapotlán el Grande            ,41680,01/12/2018
Zapotlanejo                   ,9026,01/12/2018
Acatic                        ,4918,01/12/2019
Acatlán de Juárez             ,7212,01/12/2019
Ahualulco de Mercado          ,1335,01/12/2019
Amacueca                      ,62,01/12/2019
Amatitán                      ,1492,01/12/2019
Ameca                         ,7810,01/12/2019
Arandas                       ,12937,01/12/2019
Atemajac de Brizuela          ,72,01/12/2019
Atengo                        ,23,01/12/2019
Atenguillo                    ,75,01/12/2019
Atotonilco el Alto            ,9137,01/12/2019
Atoyac                        ,645,01/12/2019
Autlán de Navarro             ,11635,01/12/2019
Ayotlán                       ,3446,01/12/2019
Ayutla                        ,386,01/12/2019
Bolaños                       ,720,01/12/2019
Cabo Corrientes               ,448,01/12/2019
Cañadas de Obregón            ,15,01/12/2019
Casimiro Castillo             ,3255,01/12/2019
Chapala                       ,7378,01/12/2019
Chimaltitán                   ,1,01/12/2019
Chiquilistlán                 ,146,01/12/2019
Cihuatlán                     ,2619,01/12/2019
Cocula                        ,2485,01/12/2019
Colotlán                      ,575,01/12/2019
Concepción de Buenos Aires    ,120,01/12/2019
Cuautitlán de García Barragán ,34,01/12/2019
Cuautla                       ,101,01/12/2019
Cuquío                        ,487,01/12/2019
Degollado                     ,731,01/12/2019
Ejutla                        ,4,01/12/2019
El Arenal                     ,1447,01/12/2019
El Grullo                     ,2879,01/12/2019
El Limón                      ,171,01/12/2019
El Salto                      ,51785,01/12/2019
Encarnación de Díaz           ,4089,01/12/2019
Etzatlán                      ,679,01/12/2019
Gómez Farías                  ,1364,01/12/2019
Guachinango                   ,147,01/12/2019
Guadalajara                   ,1034498,01/12/2019
Hostotipaquillo               ,226,01/12/2019
Huejúcar                      ,108,01/12/2019
Huejuquilla el Alto           ,332,01/12/2019
Ixtlahuacán de los Membrillos ,4499,01/12/2019
Ixtlahuacán del Río           ,830,01/12/2019
Jalostotitlán                 ,3078,01/12/2019
Jamay                         ,1361,01/12/2019
Jesús María                   ,1908,01/12/2019
Jilotlán de los Dolores       ,48,01/12/2019
Jocotepec                     ,8912,01/12/2019
Juanacatlán                   ,2105,01/12/2019
Juchitlán                     ,105,01/12/2019
La Barca                      ,7029,01/12/2019
La Huerta                     ,2507,01/12/2019
La Manzanilla de la Paz       ,60,01/12/2019
Lagos de Moreno               ,38654,01/12/2019
Magdalena                     ,1657,01/12/2019
Mascota                       ,1212,01/12/2019
Mazamitla                     ,906,01/12/2019
Mexticacán                    ,13,01/12/2019
Mezquitic                     ,313,01/12/2019
Mixtlán                       ,44,01/12/2019
Ocotlán                       ,27786,01/12/2019
Ojuelos de Jalisco            ,2022,01/12/2019
Pihuamo                       ,496,01/12/2019
Poncitlán                     ,5197,01/12/2019
Puerto Vallarta               ,84049,01/12/2019
Quitupan                      ,10,01/12/2019
San Cristóbal de la Barranca  ,67,01/12/2019
San Diego de Alejandría       ,78,01/12/2019
San Gabriel                   ,4200,01/12/2019
San Ignacio Cerro Gordo       ,652,01/12/2019
San Juan de los Lagos         ,13617,01/12/2019
San Juanito de Escobedo       ,307,01/12/2019
San Julián                    ,879,01/12/2019
San Marcos                    ,29,01/12/2019
San Martín de Bolaños         ,308,01/12/2019
San Martín Hidalgo            ,1055,01/12/2019
San Miguel el Alto            ,3785,01/12/2019
San Pedro Tlaquepaque         ,116376,01/12/2019
San Sebastián del Oeste       ,67,01/12/2019
Santa María de los Ángeles    ,22,01/12/2019
Santa María del Oro           ,1,01/12/2019
Sayula                        ,4798,01/12/2019
Tala                          ,16015,01/12/2019
Talpa de Allende              ,498,01/12/2019
Tamazula de Gordiano          ,8605,01/12/2019
Tapalpa                       ,2473,01/12/2019
Tecalitlán                    ,946,01/12/2019
Techaluta de Montenegro       ,134,01/12/2019
Tecolotlán                    ,983,01/12/2019
Tenamaxtlán                   ,335,01/12/2019
Teocaltiche                   ,2999,01/12/2019
Teocuitatlán de Corona        ,441,01/12/2019
Tepatitlán de Morelos         ,41885,01/12/2019
Tequila                       ,6880,01/12/2019
Teuchitlán                    ,763,01/12/2019
Tizapán el Alto               ,1230,01/12/2019
Tlajomulco de Zúñiga          ,92816,01/12/2019
Tolimán                       ,888,01/12/2019
Tomatlán                      ,2084,01/12/2019
Tonalá                        ,34761,01/12/2019
Tonaya                        ,948,01/12/2019
Tonila                        ,433,01/12/2019
Totatiche                     ,190,01/12/2019
Tototlán                      ,1965,01/12/2019
Tuxcacuesco                   ,3105,01/12/2019
Tuxcueca                      ,357,01/12/2019
Tuxpan                        ,4181,01/12/2019
Unión de San Antonio          ,1269,01/12/2019
Unión de Tula                 ,555,01/12/2019
Valle de Guadalupe            ,1843,01/12/2019
Valle de Juárez               ,511,01/12/2019
Villa Corona                  ,1050,01/12/2019
Villa Guerrero                ,34,01/12/2019
Villa Hidalgo                 ,761,01/12/2019
Villa Purificación            ,158,01/12/2019
Yahualica de González Gallo   ,1155,01/12/2019
Zacoalco de Torres            ,3311,01/12/2019
Zapopan                       ,431571,01/12/2019
Zapotiltic                    ,7839,01/12/2019
Zapotitlán de Vadillo         ,46,01/12/2019
Zapotlán del Rey              ,2707,01/12/2019
Zapotlán el Grande            ,43751,01/12/2019
Zapotlanejo                   ,7673,01/12/2019
Acatic                        ,4824,01/12/2020
Acatlán de Juárez             ,7555,01/12/2020
Ahualulco de Mercado          ,1349,01/12/2020
Amacueca                      ,77,01/12/2020
Amatitán                      ,1690,01/12/2020
Ameca                         ,7524,01/12/2020
Arandas                       ,13335,01/12/2020
Atemajac de Brizuela          ,89,01/12/2020
Atengo                        ,26,01/12/2020
Atenguillo                    ,93,01/12/2020
Atotonilco el Alto            ,10133,01/12/2020
Atoyac                        ,549,01/12/2020
Autlán de Navarro             ,11640,01/12/2020
Ayotlán                       ,3567,01/12/2020
Ayutla                        ,354,01/12/2020
Bolaños                       ,655,01/12/2020
Cabo Corrientes               ,493,01/12/2020
Cañadas de Obregón            ,47,01/12/2020
Casimiro Castillo             ,3541,01/12/2020
Chapala                       ,7442,01/12/2020
Chimaltitán                   ,1,01/12/2020
Chiquilistlán                 ,141,01/12/2020
Cihuatlán                     ,2321,01/12/2020
Cocula                        ,2589,01/12/2020
Colotlán                      ,605,01/12/2020
Concepción de Buenos Aires    ,126,01/12/2020
Cuautitlán de García Barragán ,68,01/12/2020
Cuautla                       ,98,01/12/2020
Cuquío                        ,410,01/12/2020
Degollado                     ,722,01/12/2020
Ejutla                        ,9,01/12/2020
El Arenal                     ,2430,01/12/2020
El Grullo                     ,2877,01/12/2020
El Limón                      ,172,01/12/2020
El Salto                      ,53018,01/12/2020
Encarnación de Díaz           ,4193,01/12/2020
Etzatlán                      ,731,01/12/2020
Gómez Farías                  ,1819,01/12/2020
Guachinango                   ,151,01/12/2020
Guadalajara                   ,1047893,01/12/2020
Hostotipaquillo               ,213,01/12/2020
Huejúcar                      ,150,01/12/2020
Huejuquilla el Alto           ,657,01/12/2020
Ixtlahuacán de los Membrillos ,4567,01/12/2020
Ixtlahuacán del Río           ,1131,01/12/2020
Jalostotitlán                 ,3158,01/12/2020
Jamay                         ,1376,01/12/2020
Jesús María                   ,1828,01/12/2020
Jilotlán de los Dolores       ,60,01/12/2020
Jocotepec                     ,9060,01/12/2020
Juanacatlán                   ,2226,01/12/2020
Juchitlán                     ,100,01/12/2020
